Billing document,Billing Type,Calendar Day,Material group,,Plant,,Sales Office,,Sold-to party,Billing Qty:Base UoM
5010601022,ZP01,02.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30938,15
5010601023,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,4200,BENGALURU ZNL Office,23165,21
5010601024,ZP01,02.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30938,15
5010601025,ZP01,02.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31222,20
5010601026,ZP01,02.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31225,21
5010601027,ZP01,02.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31402,20
5010601028,ZP01,02.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31259,21
5010601029,ZP01,02.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31402,20
5010601030,ZP01,02.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31262,16
5010601031,ZP01,02.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,28072,21
5010601033,ZP01,02.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31313,16
5010601146,ZP01,02.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,27798,16
5010601194,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,25286,16
5010601213,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,26702,20
5010601218,ZP01,02.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4200,BENGALURU ZNL Office,28347,10
5010601224,ZP01,02.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4200,BENGALURU ZNL Office,28347,7
5010601229,ZP01,02.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4200,BENGALURU ZNL Office,28347,4
5010601243,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31254,16
5010601262,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,30952,15
5010601263,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31254,16
5010601264,ZP01,02.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31254,16
5010601265,ZP01,02.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31223,21
5010601267,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,31656,16
5010601288,ZP01,02.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22855,16
5010601311,ZP01,02.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,26726,11
5010601388,ZP13,02.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31906,17
5010601393,ZP13,02.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31906,17
5010601403,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,30754,21
5010601404,ZP01,02.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31257,20
5010601405,ZP13,02.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31906,17
5010601406,ZP01,02.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,26149,16
5010601408,ZP13,02.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31906,17
5010601409,ZP13,02.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31906,17
5010601410,ZP01,02.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31402,16
5010601411,ZP01,02.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31402,16
