Month_Year,INR,Month,Year
Jan-14,4923550139,01,2014
Feb-14,4332000421,02,2014
Mar-14,3255174809,03,2014
Apr-14,2459940020,04,2014
May-14,3486617253,05,2014
Jun-14,4504708731,06,2014
Jul-14,4475132448,07,2014
Aug-14,4576024948,08,2014
Sep-14,4547038787,09,2014
Oct-14,4008144464,10,2014
Nov-14,4461349632,11,2014
Dec-14,4455250618,12,2014
Jan-15,3894661159,01,2015
Feb-15,4664460080,02,2015
Mar-15,4151341565,03,2015
Apr-15,2405109723,04,2015
May-15,413769644.1,05,2015
Jun-15,2726946961,06,2015
Jul-15,3060701570,07,2015
Aug-15,2386663519,08,2015
Sep-15,3181054001,09,2015
Oct-15,2714586743,10,2015
Nov-15,2141832174,11,2015
Dec-15,3104580065,12,2015
Jan-16,2720627721,01,2016
Feb-16,3879383397,02,2016
Mar-16,4458656750,03,2016
Apr-16,2244073572,04,2016
May-16,3358228888,05,2016
Jun-16,5253388517,06,2016
Jul-16,3623509720,07,2016
Aug-16,5170726051,08,2016
Sep-16,4636317611,09,2016
Oct-16,5627215342,10,2016
Nov-16,3149958073,11,2016
Dec-16,5037757933,12,2016
