,
Calendar_Day,Net_Value
02.01.2014 Total,"123,737,522.69"
03.01.2014 Total,"185,120,332.98"
04.01.2014 Total,"169,196,925.32"
05.01.2014 Total,"120,897,991.65"
06.01.2014 Total,"105,147,063.73"
07.01.2014 Total,"146,357,440.90"
08.01.2014 Total,"189,294,008.26"
09.01.2014 Total,"76,763,197.48"
10.01.2014 Total,"174,110,763.68"
11.01.2014 Total,"211,061,308.25"
12.01.2014 Total,"156,485,597.38"
13.01.2014 Total,"133,851,484.25"
14.01.2014 Total,"208,949,393.55"
15.01.2014 Total,"193,215,788.32"
16.01.2014 Total,"135,457,103.56"
17.01.2014 Total,"134,195,130.72"
18.01.2014 Total,"126,930,279.72"
19.01.2014 Total,"65,306,685.30"
20.01.2014 Total,"68,650,329.86"
21.01.2014 Total,"137,245,771.23"
22.01.2014 Total,"96,255,169.23"
23.01.2014 Total,"117,214,687.10"
24.01.2014 Total,"146,894,035.70"
25.01.2014 Total,"111,683,634.75"
26.01.2014 Total,"54,142,217.24"
27.01.2014 Total,"61,883,141.13"
28.01.2014 Total,"135,842,969.08"
29.01.2014 Total,"174,513,439.72"
30.01.2014 Total,"70,618,686.75"
31.01.2014 Total,"95,506,130.26"
01.02.2014 Total,"7,832,427.42"
02.02.2014 Total,"168,459,800.27"
03.02.2014 Total,"133,504,074.43"
04.02.2014 Total,"201,638,739.38"
05.02.2014 Total,"173,830,809.51"
06.02.2014 Total,"159,411,791.36"
07.02.2014 Total,"128,482,306.21"
08.02.2014 Total,"137,429,259.68"
09.02.2014 Total,"90,648,442.66"
10.02.2014 Total,"83,720,662.53"
11.02.2014 Total,"150,095,619.53"
12.02.2014 Total,"108,713,181.80"
13.02.2014 Total,"130,102,612.91"
14.02.2014 Total,"167,322,986.45"
15.02.2014 Total,"174,392,708.72"
16.02.2014 Total,"116,568,459.06"
17.02.2014 Total,"88,901,224.94"
18.02.2014 Total,"140,867,031.27"
19.02.2014 Total,"105,249,277.15"
20.02.2014 Total,"111,078,513.69"
21.02.2014 Total,"133,485,739.61"
22.02.2014 Total,"102,529,218.68"
23.02.2014 Total,"122,263,967.33"
24.02.2014 Total,"89,441,696.90"
25.02.2014 Total,"177,093,942.01"
26.02.2014 Total,"201,697,057.68"
27.02.2014 Total,"86,236,163.32"
28.02.2014 Total,"81,355,432.04"
02.03.2014 Total,"162,171,672.11"
03.03.2014 Total,"94,340,228.97"
04.03.2014 Total,"251,608,855.31"
05.03.2014 Total,"327,427,826.64"
06.03.2014 Total,"192,355,509.03"
07.03.2014 Total,"207,476,600.16"
08.03.2014 Total,"162,377,275.27"
