Sold_to_party,Total_Score,customerType
28826,555,Champions
29284,555,Champions
28318,555,Champions
29285,555,Champions
22519,555,Champions
28296,554,Champions
28944,553,Champions
28847,545,Champions
28220,542,Loyal
24862,542,Loyal
24926,541,Potential Loyalist
26757,535,Champions
22445,535,Champions
28175,535,Champions
25780,535,Champions
28932,535,Champions
28828,535,Champions
29680,535,Champions
28948,535,Champions
28852,535,Champions
27926,535,Champions
29134,535,Champions
26413,535,Champions
28249,535,Champions
25925,534,Loyal
29025,534,Loyal
26697,534,Loyal
27472,534,Loyal
28428,534,Loyal
28436,534,Loyal
28844,534,Loyal
22283,534,Loyal
25447,534,Loyal
28692,534,Loyal
25312,534,Loyal
26120,534,Loyal
21706,534,Loyal
22264,534,Loyal
20671,534,Loyal
26724,534,Loyal
25086,533,Loyal
29227,533,Loyal
23459,533,Loyal
22127,533,Loyal
22630,533,Loyal
22144,533,Loyal
28356,533,Loyal
21228,533,Loyal
28752,533,Loyal
26083,533,Loyal
26954,532,Potential Loyalist
20641,532,Potential Loyalist
29037,532,Potential Loyalist
23773,532,Potential Loyalist
29297,532,Potential Loyalist
24815,532,Potential Loyalist
28044,531,Potential Loyalist
27471,531,Potential Loyalist
28612,531,Potential Loyalist
29169,531,Potential Loyalist
28658,531,Potential Loyalist
23544,531,Potential Loyalist
29254,525,Loyal
27745,525,Loyal
24847,525,Loyal
25456,525,Loyal
28190,525,Loyal
29392,525,Loyal
25504,525,Loyal
27778,525,Loyal
28626,525,Loyal
24459,525,Loyal
25956,525,Loyal
20556,525,Loyal
21592,525,Loyal
29537,525,Loyal
29331,525,Loyal
21772,525,Loyal
22536,525,Loyal
28524,525,Loyal
23388,525,Loyal
28061,525,Loyal
27306,525,Loyal
29544,525,Loyal
29248,525,Loyal
28368,525,Loyal
20277,525,Loyal
22605,524,Loyal
27104,524,Loyal
29148,524,Loyal
22325,524,Loyal
26624,524,Loyal
23005,524,Loyal
26622,524,Loyal
27282,524,Loyal
27983,524,Loyal
24907,524,Loyal
27325,524,Loyal
28825,524,Loyal
26672,524,Loyal
22756,524,Loyal
29498,524,Loyal
23073,524,Loyal
29766,524,Loyal
20026,524,Loyal
29182,524,Loyal
27813,524,Loyal
29586,524,Loyal
28210,524,Loyal
28718,524,Loyal
23032,524,Loyal
28040,523,Potential Loyalist
23450,523,Potential Loyalist
