"Material.group","Plant","Sales.Office","Billing.Qty.Base.UoM","Lower_Predicted_Value","Higher_Predicted_Value","Date"
"FG0023",5010,"1000",15,1466816.76488733,1481484.93253621,2018-01-02
"FG0002",5010,"4200",21,2078327.5385024,2099110.81388742,2018-01-02
"FG0023",5010,"1000",15,1466816.76488733,1481484.93253621,2018-01-02
"FG0001",5010,"2000",20,1947199.42274348,1966671.41697092,2018-01-02
"FG0001",5010,"2000",21,2050999.24364662,2071509.23608309,2018-01-02
"FG0023",5010,"1000",20,1985815.86940305,2005674.02809708,2018-01-02
"FG0003",5010,"2000",21,2065860.35223323,2086518.95575556,2018-01-02
"FG0023",5010,"1000",20,1985815.86940305,2005674.02809708,2018-01-02
"FG0022",5010,"2000",16,1480132.2242637,1494933.54650633,2018-01-02
"FG0014",5010,"2000",21,2070111.08834162,2090812.19922504,2018-01-02
"FG0001",5010,"2000",16,1532000.13913091,1547320.14052221,2018-01-02
"FG0022",5010,"2000",16,1480132.2242637,1494933.54650633,2018-01-02
"FG0002",5010,"2000",16,1551650.83336394,1567167.34169757,2018-01-02
"FG0002",5010,"2100",20,1965501.07709922,1985156.08787021,2018-01-02
"FG0023",5010,"4200",10,935970.742638186,945330.450064567,2018-01-02
"FG0023",5010,"4200",7,624571.279928759,630816.992728046,2018-01-02
"FG0023",5010,"4200",4,313171.817219332,316303.535391525,2018-01-02
"FG0002",5010,"2000",16,1551650.83336394,1567167.34169757,2018-01-02
"FG0002",5010,"1000",15,1467375.53081696,1482049.28612513,2018-01-02
"FG0002",5010,"2000",16,1551650.83336394,1567167.34169757,2018-01-02
"FG0022",5010,"2000",16,1480132.2242637,1494933.54650633,2018-01-02
"FG0003",5010,"2000",21,2065860.35223323,2086518.95575556,2018-01-02
"FG0002",5010,"2100",16,1550301.79348664,1565804.81142151,2018-01-02
"FG0022",5010,"2100",16,1478783.1843864,1493571.01623027,2018-01-02
"FG0023",5010,"2000",11,1032092.96291859,1042413.89254778,2018-01-02
"FG0002",5010,"2100",21,2069300.89800236,2089993.90698238,2018-01-02
"FG0001",5010,"2000",20,1947199.42274348,1966671.41697092,2018-01-02
"FG0014",5010,"2000",16,1551111.98382591,1566623.10366417,2018-01-02
"FG0023",5010,"1000",16,1570616.58579047,1586322.75164837,2018-01-02
"FG0023",5010,"1000",16,1570616.58579047,1586322.75164837,2018-01-02
"FG0003",5010,"2000",21,2065860.35223323,2086518.95575556,2018-01-02
